State_Code,AvgFunded,rate,dti,AvgFundedA,rateA,dtiA,State_Abbr,,State_Abbr2,rate2,dti2,AvgFundedA2,rateA2,dtiA2,RDtiA,RDtiB,RRSB,RRSA
34,"6,781.36",0.135067273,13.76345455,"11,527.47",0.122352615,12.84421024,NJ,,OH,0.1409,15.915,"10,698",0.120233442,14.5202447,59.18%,92.16%,580.9393443,577.9886746
35,"10,166.67",0.149388889,18.15555556,"10,071.84",0.11669,13.80563158,NM,,OK,0.13476,13.66,"11,136.33",0.118871333,14.10166667,30.61%,58.82%,576.7552389,577.4471096
36,"7,964.95",0.129845794,11.30317757,"11,017.82",0.120899424,12.23907781,NY,,OR,0.13125,12.8925,"10,407.15",0.119656319,13.6895122,55.10%,37.25%,576.0353501,587.5684971
37,"6,579.17",0.133566667,11.88611111,"11,189.10",0.120402408,13.87217998,NC,,PA,0.139371053,15.32526316,"10,433.69",0.116749901,13.84981567,47%,50.98%,584.7211896,587.8252505
38,,,,,,,,,RI,0.137933333,9.385,"9,286.18",0.119076884,12.64663317,28.57%,54.90%,586.9148867,593.9237618
39,"6,648.08",0.1409,15.915,"10,698",0.120233442,14.5202447,OH,,SC,0.1426625,15.23125,"10,673.31",0.118416102,13.74557203,51.02%,29.41%,591.0753532,558.4632028
40,"5,485",0.13476,13.66,"11,136.33",0.118871333,14.10166667,OK,,SD,0.11965,20.655,"9,654.30",0.114635937,14.7528125,48.98%,49.02%,557.2381164,592.4812332
41,"6,500",0.13125,12.8925,"10,407.15",0.119656319,13.6895122,OR,,TN,0.13424,16.89,"7,688.24",0.105611765,11.59176471,8.16%,45.10%,591.3716049,545.3870968
42,"7,205.92",0.139371053,15.32526316,"10,433.69",0.116749901,13.84981567,PA,,TX,0.134580328,16.45885246,"11,409.06",0.120472824,13.93717996,67%,68.63%,539.3511236,577.7759912
43,,,,,,,,,UT,0.143866667,15.40222222,"10,985.52",0.120444402,13.29135135,57.14%,60.78%,576.9247408,587.9257908
44,"5,170.83",0.137933333,9.385,"9,286.18",0.119076884,12.64663317,RI,,VT,0.0807,0.09,"9,059.26",0.112231481,13.51944444,89.80%,90.20%,585.7504676,580.0837158
45,"6,590.63",0.1426625,15.23125,"10,673.31",0.118416102,13.74557203,SC,,VA,0.134269697,17.09515152,"11,327.02",0.121873722,13.39389915,26.53%,25.49%,579.3387198,588.1787026
46,"3,937.50",0.11965,20.655,"9,654.30",0.114635937,14.7528125,SD,,WA,0.14267,17.0425,"10,805.37",0.122359264,13.127019,87.76%,82.35%,586.435132,591.3259826
47,"5,973.33",0.13424,16.89,"7,688.24",0.105611765,11.59176471,TN,,WV,,,"10,750.28",0.117664407,15.0760452,36.73%,33.33%,589.4202978,588.7251244
48,"7,062.70",0.134580328,16.45885246,"11,409.06",0.120472824,13.93717996,TX,,WI,0.135484211,15.58105263,"11,049.57",0.119384783,13.43306522,14.29%,11.76%,586.6495449,563.2905007
49,"7,405.56",0.143866667,15.40222222,"10,985.52",0.120444402,13.29135135,UT,,WY,0.1059,17.96,"10,880.72",0.126060241,14.21590361,12.24%,9.80%,563.6601535,592.929471
50,"2,500",0.0807,0.09,"9,059.26",0.112231481,13.51944444,VT,,,,,,,,,,,
51,"10,421.21",0.134269697,17.09515152,"11,327.02",0.121873722,13.39389915,VA,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
53,"7,708.75",0.14267,17.0425,"10,805.37",0.122359264,13.127019,WA,,,,,,,,,,,
54,,,,"10,750.28",0.117664407,15.0760452,WV,,,,,,,,,,,
55,"8,307.89",0.135484211,15.58105263,"11,049.57",0.119384783,13.43306522,WI,,,,,,,,,,,
56,"10,000",0.1059,17.96,"10,880.72",0.126060241,14.21590361,WY,,,,,,,,,,,
